region	chr	midPos	Nsites
(648,1313)(218443,219570)(200000,250000)	JASDQU010100571.1	225000	667	0.562713
(5,530)(55758,56309)(50000,100000)	JASDQU010100572.1	75000	527	0.044054
(531,673)(239994,240447)(200000,250000)	JASDQU010100572.1	225000	144	0.043457
(674,1730)(450985,452615)(450000,500000)	JASDQU010100572.1	475000	1058	0.030498
(151,819)(434904,435589)(400000,450000)	JASDQU010100574.1	425000	670	0.397529
(820,1981)(477301,489458)(450000,500000)	JASDQU010100574.1	475000	1163	0.326880
(123,1446)(155935,157586)(150000,200000)	JASDQU010100575.1	175000	1325	0.216875
(93,524)(289413,289939)(250000,300000)	JASDQU010100578.1	275000	433	0.469913
(1310,2302)(398554,399562)(350000,400000)	JASDQU010100582.1	375000	994	0.408093
(176,701)(68013,82010)(50000,100000)	JASDQU010100587.1	75000	527	0.223486
(611,1517)(554247,599653)(550000,600000)	JASDQU010100588.1	575000	908	0.385695
(1518,2471)(733038,734017)(700000,750000)	JASDQU010100588.1	725000	955	0.247808
(2472,5027)(766488,769466)(750000,800000)	JASDQU010100588.1	775000	2557	0.227760
(656,2169)(154118,192552)(150000,200000)	JASDQU010100598.1	175000	1515	0.382707
(406,770)(68948,69335)(50000,100000)	JASDQU010100604.1	75000	366	0.601986
(29,599)(200701,232796)(200000,250000)	JASDQU010100605.1	225000	572	0.811659
(127,142)(84422,84440)(50000,100000)	JASDQU010100607.1	75000	17	0.089581
(143,1200)(225040,226102)(200000,250000)	JASDQU010100607.1	225000	1059	0.440751
(1201,1681)(304098,304769)(300000,350000)	JASDQU010100607.1	325000	482	0.023646
(607,1573)(299014,299999)(250000,300000)	JASDQU010100609.1	275000	968	0.435603
(1574,4950)(300000,304006)(300000,350000)	JASDQU010100609.1	325000	3378	0.599474
(4951,5086)(777957,778169)(750000,800000)	JASDQU010100609.1	775000	137	0.157788
(411,910)(170076,179011)(150000,200000)	JASDQU010100620.1	175000	501	0.096141
(1439,3063)(70632,97323)(50000,100000)	JASDQU010100622.1	75000	1626	0.372772
(2051,2160)(67578,67745)(50000,100000)	JASDQU010100633.1	75000	111	0.585474
(111,379)(136084,141213)(100000,150000)	JASDQU010100635.1	125000	270	0.034561
(297,669)(220468,220905)(200000,250000)	JASDQU010100636.1	225000	374	0.390588
(163,248)(197463,197586)(150000,200000)	JASDQU010100642.1	175000	87	0.039743
(1730,1963)(130898,131146)(100000,150000)	JASDQU010100643.1	125000	235	0.051201
(1964,2169)(279854,280061)(250000,300000)	JASDQU010100643.1	275000	207	0.041876
(1,378)(149115,149510)(100000,150000)	JASDQU010100646.1	125000	379	0.339385
(115,1005)(52063,79852)(50000,100000)	JASDQU010100647.1	75000	892	0.411579
(1006,1496)(198770,199267)(150000,200000)	JASDQU010100647.1	175000	492	0.243743
(18,2675)(361272,388546)(350000,400000)	JASDQU010100648.1	375000	2659	0.702261
(316,1136)(279980,280845)(250000,300000)	JASDQU010100654.1	275000	822	0.489982
(4488,4774)(245277,245563)(200000,250000)	JASDQU010100661.1	225000	288	0.037818
(94,318)(337595,338037)(300000,350000)	JASDQU010100664.1	325000	226	0.092274
(319,1346)(355723,360781)(350000,400000)	JASDQU010100664.1	375000	1029	0.537394
(1343,1464)(156407,156528)(150000,200000)	JASDQU010100671.1	175000	123	0.119211
(802,1057)(107872,130129)(100000,150000)	JASDQU010100673.1	125000	257	0.036782
(194,626)(77754,78330)(50000,100000)	JASDQU010100678.1	75000	434	-0.003801
(627,4916)(359309,364616)(350000,400000)	JASDQU010100678.1	375000	4291	0.432422
(2065,2099)(590398,590447)(550000,600000)	JASDQU010100681.1	575000	36	0.038661
(67,4500)(330031,335192)(300000,350000)	JASDQU010100686.1	325000	4435	0.731995
(4501,5096)(352640,363990)(350000,400000)	JASDQU010100686.1	375000	597	0.177508
(5097,6107)(461719,462857)(450000,500000)	JASDQU010100686.1	475000	1012	0.017381
(6108,8096)(533819,548793)(500000,550000)	JASDQU010100686.1	525000	1990	0.247267
(8097,9043)(586219,592975)(550000,600000)	JASDQU010100686.1	575000	948	0.029909
(9044,9807)(611717,638904)(600000,650000)	JASDQU010100686.1	625000	765	0.042037
(173,2244)(154310,162428)(150000,200000)	JASDQU010100689.1	175000	2073	0.441209
(412,987)(145371,145979)(100000,150000)	JASDQU010100691.1	125000	577	0.502121
(988,1684)(153415,154178)(150000,200000)	JASDQU010100691.1	175000	698	-0.002439
(57,475)(270520,270945)(250000,300000)	JASDQU010100692.1	275000	420	0.234816
(900,2182)(266364,267657)(250000,300000)	JASDQU010100697.1	275000	1284	0.626510
(2183,2721)(324908,325548)(300000,350000)	JASDQU010100697.1	325000	540	0.377698
(328,1065)(131936,132690)(100000,150000)	JASDQU010100709.1	125000	739	0.077856
(1066,1216)(182155,182305)(150000,200000)	JASDQU010100709.1	175000	152	0.168863
(1217,1339)(228736,229122)(200000,250000)	JASDQU010100709.1	225000	124	0.287106
(131,337)(299790,299999)(250000,300000)	JASDQU010100711.1	275000	208	0.039391
(338,391)(300000,300054)(300000,350000)	JASDQU010100711.1	325000	55	0.041386
(392,1088)(469588,470293)(450000,500000)	JASDQU010100711.1	475000	698	0.830437
(1089,1371)(551962,552325)(550000,600000)	JASDQU010100711.1	575000	284	0.056697
(1372,3077)(719781,724028)(700000,750000)	JASDQU010100711.1	725000	1707	0.029007
(178,256)(344550,344857)(300000,350000)	JASDQU010100714.1	325000	80	0.089882
(257,370)(744683,744809)(700000,750000)	JASDQU010100714.1	725000	115	0.951778
(371,1049)(929996,930723)(900000,950000)	JASDQU010100714.1	925000	680	0.981728
(1243,2463)(76842,98670)(50000,100000)	JASDQU010100715.1	75000	1222	0.640901
(1249,1432)(189635,189936)(150000,200000)	JASDQU010100717.1	175000	185	0.104294
(69,74)(100000,100005)(100000,150000)	JASDQU010100719.1	125000	7	0.054296
(69,400)(416677,447449)(400000,450000)	JASDQU010100727.1	425000	333	0.008073
(529,714)(301376,301789)(300000,350000)	JASDQU010100728.1	325000	187	0.025590
(151,368)(115189,115421)(100000,150000)	JASDQU010100733.1	125000	219	0.148053
(369,1128)(440321,444039)(400000,450000)	JASDQU010100733.1	425000	761	0.191790
(408,1806)(439585,441512)(400000,450000)	JASDQU010100744.1	425000	1400	0.189272
(222,778)(291809,292370)(250000,300000)	JASDQU010100746.1	275000	558	0.011799
(779,1643)(443605,444525)(400000,450000)	JASDQU010100746.1	425000	866	0.359744
(122,932)(105915,108205)(100000,150000)	JASDQU010100756.1	125000	812	0.892311
(215,328)(351553,351690)(350000,400000)	JASDQU010100757.1	375000	115	0.052334
(361,711)(249491,249858)(200000,250000)	JASDQU010100758.1	225000	352	0.355659
(712,1025)(469651,469970)(450000,500000)	JASDQU010100758.1	475000	315	0.224832
(1026,1827)(522031,522841)(500000,550000)	JASDQU010100758.1	525000	803	0.094037
(66,194)(177696,177824)(150000,200000)	JASDQU010100767.1	175000	130	0.109885
(1850,2452)(146588,147190)(100000,150000)	JASDQU010100774.1	125000	604	0.303274
(635,1038)(142347,142984)(100000,150000)	JASDQU010100779.1	125000	405	0.251552
(2016,2808)(163422,164242)(150000,200000)	JASDQU010100785.1	175000	794	0.444465
(2809,2880)(315420,315500)(300000,350000)	JASDQU010100785.1	325000	73	0.062439
(2881,3104)(412041,412310)(400000,450000)	JASDQU010100785.1	425000	225	0.351552
(3105,3218)(522000,522317)(500000,550000)	JASDQU010100785.1	525000	115	0.063859
(361,363)(276569,276571)(250000,300000)	JASDQU010100788.1	275000	4	0.062359
(364,431)(379775,379871)(350000,400000)	JASDQU010100788.1	375000	69	0.055972
(432,886)(438794,439264)(400000,450000)	JASDQU010100788.1	425000	456	0.231801
(887,1675)(484187,485029)(450000,500000)	JASDQU010100788.1	475000	790	0.284297
(1676,1983)(509706,510072)(500000,550000)	JASDQU010100788.1	525000	309	0.076542
(1984,2120)(558783,558921)(550000,600000)	JASDQU010100788.1	575000	138	0.174286
(998,1491)(164104,183975)(150000,200000)	JASDQU010100789.1	175000	495	0.048077
(639,714)(384682,384761)(350000,400000)	JASDQU010100800.1	375000	77	0.116836
(715,892)(495787,495967)(450000,500000)	JASDQU010100800.1	475000	179	0.072225
(245,400)(206430,206591)(200000,250000)	JASDQU010100801.1	225000	157	0.055212
(102,188)(287652,287787)(250000,300000)	JASDQU010100815.1	275000	88	0.294988
(215,471)(205412,219066)(200000,250000)	JASDQU010100819.1	225000	258	0.030425
(472,2166)(256194,283208)(250000,300000)	JASDQU010100819.1	275000	1696	0.283310
(2167,2470)(322726,339120)(300000,350000)	JASDQU010100819.1	325000	305	0.082347
(1368,3280)(261523,264231)(250000,300000)	JASDQU010100822.1	275000	1914	0.202290
(332,461)(887560,887838)(850000,900000)	JASDQU010100823.1	875000	131	0.054814
(462,858)(928309,928733)(900000,950000)	JASDQU010100823.1	925000	398	0.038895
(219,386)(114832,115006)(100000,150000)	JASDQU010100826.1	125000	169	0.181326
(173,1615)(353373,395228)(350000,400000)	JASDQU010100827.1	375000	1444	0.845433
(1616,1621)(468420,468433)(450000,500000)	JASDQU010100827.1	475000	7	0.056791
(563,574)(143839,143852)(100000,150000)	JASDQU010100828.1	125000	13	0.070655
(575,1206)(275315,275992)(250000,300000)	JASDQU010100828.1	275000	633	0.345305
(94,858)(217289,247190)(200000,250000)	JASDQU010100829.1	225000	766	0.533904
(859,2091)(276620,277902)(250000,300000)	JASDQU010100829.1	275000	1234	0.577262
(2449,5165)(172554,186941)(150000,200000)	JASDQU010100831.1	175000	2718	0.658176
(3622,4390)(136298,137091)(100000,150000)	JASDQU010100833.1	125000	770	0.473389
(4391,4468)(299912,299992)(250000,300000)	JASDQU010100833.1	275000	79	0.119313
(4469,4582)(458525,458762)(450000,500000)	JASDQU010100833.1	475000	115	0.064217
(4583,5544)(500280,525630)(500000,550000)	JASDQU010100833.1	525000	963	0.125648
(128,1000)(156050,156940)(150000,200000)	JASDQU010100834.1	175000	874	0.675099
(341,3924)(295964,299604)(250000,300000)	JASDQU010100842.1	275000	3585	0.351988
(3925,5272)(302060,304445)(300000,350000)	JASDQU010100842.1	325000	1349	0.312862
(5273,5422)(373350,373544)(350000,400000)	JASDQU010100842.1	375000	151	0.062044
(75,808)(301281,302088)(300000,350000)	JASDQU010100846.1	325000	735	-0.004053
(40,76)(253597,253638)(250000,300000)	JASDQU010100858.1	275000	38	0.169778
(96,126)(189219,189290)(150000,200000)	JASDQU010100863.1	175000	32	0.164680
(1429,1477)(200450,200499)(200000,250000)	JASDQU010100864.1	225000	50	0.081185
(167,3449)(206652,210257)(200000,250000)	JASDQU010100870.1	225000	3284	0.619882
(3450,4256)(514546,548001)(500000,550000)	JASDQU010100870.1	525000	808	0.049819
(4257,5959)(662781,689860)(650000,700000)	JASDQU010100870.1	675000	1704	0.044262
(1916,3663)(350003,363920)(350000,400000)	JASDQU010100873.1	375000	1749	0.642346
(148,2249)(175527,178295)(150000,200000)	JASDQU010100875.1	175000	2103	0.285365
(2824,5082)(265748,268042)(250000,300000)	JASDQU010100877.1	275000	2260	0.449274
(11,32)(50000,50061)(50000,100000)	JASDQU010100888.1	75000	23	0.080308
(33,717)(232765,233475)(200000,250000)	JASDQU010100888.1	225000	686	0.220677
(470,772)(154815,155209)(150000,200000)	JASDQU010100892.1	175000	304	0.005327
(210,3272)(221496,225231)(200000,250000)	JASDQU010100903.1	225000	3064	0.525429
(3273,6475)(381872,399875)(350000,400000)	JASDQU010100903.1	375000	3204	0.139881
(869,2190)(122808,124156)(100000,150000)	JASDQU010100909.1	125000	1323	0.439425
(898,2097)(109706,131663)(100000,150000)	JASDQU010100916.1	125000	1201	0.023727
(117,346)(91538,91865)(50000,100000)	JASDQU010100917.1	75000	231	0.044472
(347,606)(153554,196695)(150000,200000)	JASDQU010100917.1	175000	261	0.193810
(607,1091)(534052,534537)(500000,550000)	JASDQU010100917.1	525000	486	0.229183
(1092,1474)(647068,647467)(600000,650000)	JASDQU010100917.1	625000	384	0.824082
(1475,3195)(664733,666466)(650000,700000)	JASDQU010100917.1	675000	1722	0.283207
(1248,1707)(59638,60209)(50000,100000)	JASDQU010100919.1	75000	461	0.505335
(104,4203)(104016,112024)(100000,150000)	JASDQU010100922.1	125000	4101	0.767084
(4204,4676)(320227,320744)(300000,350000)	JASDQU010100922.1	325000	474	0.477827
(4677,9827)(374102,379378)(350000,400000)	JASDQU010100922.1	375000	5152	0.265172
(104,239)(530876,531191)(500000,550000)	JASDQU010100935.1	525000	137	-0.012280
(673,6094)(253968,273540)(250000,300000)	JASDQU010100939.1	275000	5423	0.649371
(529,1313)(121727,122558)(100000,150000)	JASDQU010100941.1	125000	786	0.701367
(384,404)(496891,496967)(450000,500000)	JASDQU010100944.1	475000	22	0.142218
(405,406)(703960,703962)(700000,750000)	JASDQU010100944.1	725000	3	0.054558
(407,710)(843777,844092)(800000,850000)	JASDQU010100944.1	825000	305	0.017407
(711,897)(954569,954800)(950000,1000000)	JASDQU010100944.1	975000	188	0.087343
(898,1002)(1063324,1065814)(1050000,1100000)	JASDQU010100944.1	1075000	106	0.016007
(514,776)(180858,181254)(150000,200000)	JASDQU010100948.1	175000	264	0.073013
(777,1071)(258092,258482)(250000,300000)	JASDQU010100948.1	275000	296	0.089892
(1072,1077)(688100,688106)(650000,700000)	JASDQU010100948.1	675000	7	0.140623
(122,932)(196361,197751)(150000,200000)	JASDQU010100952.1	175000	812	0.253652
(374,461)(195378,195468)(150000,200000)	JASDQU010100953.1	175000	89	0.767875
(462,698)(223216,223460)(200000,250000)	JASDQU010100953.1	225000	238	0.045224
(313,508)(178594,178799)(150000,200000)	JASDQU010100954.1	175000	197	0.058919
(1339,1567)(107347,143572)(100000,150000)	JASDQU010100955.1	125000	230	0.097345
(1568,1691)(159544,159691)(150000,200000)	JASDQU010100955.1	175000	125	0.042032
(1692,2699)(251183,272929)(250000,300000)	JASDQU010100955.1	275000	1009	0.256173
(169,284)(183131,183267)(150000,200000)	JASDQU010100961.1	175000	117	0.388126
(285,686)(215696,216099)(200000,250000)	JASDQU010100961.1	225000	403	-0.000241
(687,977)(257194,265020)(250000,300000)	JASDQU010100961.1	275000	292	0.083522
(978,1583)(370062,397230)(350000,400000)	JASDQU010100961.1	375000	607	0.779131
(1139,1930)(293278,294092)(250000,300000)	JASDQU010100965.1	275000	793	0.372507
(1931,2055)(372696,372915)(350000,400000)	JASDQU010100965.1	375000	126	0.400042
(2056,2943)(415022,444885)(400000,450000)	JASDQU010100965.1	425000	889	0.719705
(887,1108)(619435,619704)(600000,650000)	JASDQU010100967.1	625000	223	0.260598
(794,1331)(292163,297261)(250000,300000)	JASDQU010100968.1	275000	539	0.336103
(693,2110)(263388,264848)(250000,300000)	JASDQU010100972.1	275000	1419	0.375900
(1,718)(75208,75982)(50000,100000)	JASDQU010100975.1	75000	719	0.359466
(4,499)(498781,499406)(450000,500000)	JASDQU010100976.1	475000	497	0.624234
(632,3685)(311326,317315)(300000,350000)	JASDQU010100981.1	325000	3055	0.710083
(579,893)(130873,131264)(100000,150000)	JASDQU010100982.1	125000	316	0.319716
(858,2144)(56435,78875)(50000,100000)	JASDQU010100985.1	75000	1288	0.687868
(2145,3331)(196803,198000)(150000,200000)	JASDQU010100985.1	175000	1188	0.620325
(193,1916)(275719,279386)(250000,300000)	JASDQU010100991.1	275000	1725	0.306862
(1536,1949)(191701,192309)(150000,200000)	JASDQU010100992.1	175000	415	0.038193
(87,369)(223312,223605)(200000,250000)	JASDQU010101002.1	225000	284	0.063373
(64,961)(196262,197175)(150000,200000)	JASDQU010101005.1	175000	899	0.501917
(962,1057)(357302,357409)(350000,400000)	JASDQU010101005.1	375000	97	0.049227
(1058,1687)(469051,469687)(450000,500000)	JASDQU010101005.1	475000	631	0.910526
(1688,2466)(557156,558204)(550000,600000)	JASDQU010101005.1	575000	780	0.900001
(147,837)(407664,408437)(400000,450000)	JASDQU010101016.1	425000	692	0.387574
(838,1968)(473579,484472)(450000,500000)	JASDQU010101016.1	475000	1132	0.114221
(1969,2292)(650431,650769)(650000,700000)	JASDQU010101016.1	675000	325	0.041390
(572,1799)(321720,323824)(300000,350000)	JASDQU010101017.1	325000	1229	0.802887
(1330,1512)(378798,378983)(350000,400000)	JASDQU010101028.1	375000	184	0.023960
(176,609)(287332,287903)(250000,300000)	JASDQU010101029.1	275000	435	0.315704
(653,832)(116587,116853)(100000,150000)	JASDQU010101034.1	125000	181	0.455202
(833,1198)(207761,208134)(200000,250000)	JASDQU010101034.1	225000	367	0.012633
(1199,1200)(390174,390175)(350000,400000)	JASDQU010101034.1	375000	3	0.053589
(434,730)(282803,283168)(250000,300000)	JASDQU010101035.1	275000	298	0.058500
(731,1579)(356769,373281)(350000,400000)	JASDQU010101035.1	375000	850	0.230290
(220,401)(122886,123077)(100000,150000)	JASDQU010101037.1	125000	183	0.100398
(110,600)(103947,104496)(100000,150000)	JASDQU010101040.1	125000	492	0.081297
(601,2006)(243897,249999)(200000,250000)	JASDQU010101040.1	225000	1407	0.441713
(2007,2633)(250000,250662)(250000,300000)	JASDQU010101040.1	275000	628	0.568246
(393,393)(214180,214180)(200000,250000)	JASDQU010101042.1	225000	2	0.064379
(2953,3342)(201735,202137)(200000,250000)	JASDQU010101043.1	225000	391	0.299966
(305,1135)(622615,624840)(600000,650000)	JASDQU010101053.1	625000	832	0.476575
(53,85)(53168,53254)(50000,100000)	JASDQU010101055.1	75000	34	0.145398
(86,632)(113171,113740)(100000,150000)	JASDQU010101055.1	125000	548	0.747747
(633,677)(578447,578553)(550000,600000)	JASDQU010101055.1	575000	46	0.111951
(53,4205)(108773,140392)(100000,150000)	JASDQU010101060.1	125000	4154	0.821743
(4206,4467)(201676,201940)(200000,250000)	JASDQU010101060.1	225000	263	0.037798
(1453,2042)(412805,413417)(400000,450000)	JASDQU010101061.1	425000	591	0.388604
(396,399)(103688,103692)(100000,150000)	JASDQU010101063.1	125000	5	0.059881
(143,2426)(50000,85606)(50000,100000)	JASDQU010101066.1	75000	2285	0.926681
(387,466)(187197,187289)(150000,200000)	JASDQU010101070.1	175000	81	0.042299
(1637,1865)(393314,393553)(350000,400000)	JASDQU010101073.1	375000	230	0.106768
(1866,2504)(437034,437814)(400000,450000)	JASDQU010101073.1	425000	640	0.010043
(3772,3918)(217290,217479)(200000,250000)	JASDQU010101076.1	225000	148	0.288057
(462,2260)(384882,387960)(350000,400000)	JASDQU010101080.1	375000	1800	0.451181
(1223,1770)(355254,366583)(350000,400000)	JASDQU010101081.1	375000	549	0.006396
(1771,2079)(418729,428757)(400000,450000)	JASDQU010101081.1	425000	310	0.023358
(2080,2865)(455654,462917)(450000,500000)	JASDQU010101081.1	475000	787	0.045614
(2866,3341)(502931,509070)(500000,550000)	JASDQU010101081.1	525000	477	0.015916
(194,939)(155696,181255)(150000,200000)	JASDQU010101084.1	175000	747	0.447802
(940,1420)(287616,288199)(250000,300000)	JASDQU010101084.1	275000	482	0.065354
(1421,3202)(546125,549999)(500000,550000)	JASDQU010101084.1	525000	1783	0.594145
(38,642)(401467,402126)(400000,450000)	JASDQU010101099.1	425000	606	0.014244
(643,1381)(548123,548894)(500000,550000)	JASDQU010101099.1	525000	740	0.201666
(1127,1281)(515956,516113)(500000,550000)	JASDQU010101103.1	525000	156	0.044195
(1282,1288)(695927,695933)(650000,700000)	JASDQU010101103.1	675000	8	0.079499
(1289,1909)(800825,837724)(800000,850000)	JASDQU010101103.1	825000	622	0.017379
(1910,2287)(1217415,1241547)(1200000,1250000)	JASDQU010101103.1	1225000	379	0.070376
(3763,4358)(405707,423489)(400000,450000)	JASDQU010101105.1	425000	597	0.048568
(405,1053)(88426,89206)(50000,100000)	JASDQU010101116.1	75000	650	0.016515
(1054,1682)(118921,121625)(100000,150000)	JASDQU010101116.1	125000	630	0.025907
(618,708)(55710,55814)(50000,100000)	JASDQU010101118.1	75000	92	0.069988
(41,1505)(252240,273773)(250000,300000)	JASDQU010101121.1	275000	1466	0.031721
(1506,1571)(410952,411232)(400000,450000)	JASDQU010101121.1	425000	67	0.071202
(4546,4589)(280251,280300)(250000,300000)	JASDQU010101138.1	275000	45	0.094417
(4590,4807)(371242,374246)(350000,400000)	JASDQU010101138.1	375000	219	0.045055
(4808,5099)(432055,432565)(400000,450000)	JASDQU010101138.1	425000	293	0.012046
(5100,5488)(662781,699999)(650000,700000)	JASDQU010101138.1	675000	390	0.053675
(5489,5491)(700000,700002)(700000,750000)	JASDQU010101138.1	725000	4	0.102864
(314,1710)(290824,292304)(250000,300000)	JASDQU010101142.1	275000	1398	0.210060
(369,544)(280976,291943)(250000,300000)	JASDQU010101145.1	275000	177	0.149158
(545,2384)(390584,392653)(350000,400000)	JASDQU010101145.1	375000	1841	0.508378
(386,825)(155339,155914)(150000,200000)	JASDQU010101151.1	175000	441	0.029026
(826,942)(217563,217692)(200000,250000)	JASDQU010101151.1	225000	118	0.039507
(943,1281)(344498,344837)(300000,350000)	JASDQU010101151.1	325000	340	0.049661
(1282,3325)(353514,383345)(350000,400000)	JASDQU010101151.1	375000	2045	0.234223
(3326,3557)(449057,449301)(400000,450000)	JASDQU010101151.1	425000	233	0.148902
(611,1210)(211082,211692)(200000,250000)	JASDQU010101152.1	225000	601	0.246959
(1077,5012)(226373,241581)(200000,250000)	JASDQU010101163.1	225000	3937	0.568594
(5013,5791)(260702,291734)(250000,300000)	JASDQU010101163.1	275000	780	0.376761
(5792,6419)(351377,352047)(350000,400000)	JASDQU010101163.1	375000	629	0.457461
(115,366)(148194,148535)(100000,150000)	JASDQU010101179.1	125000	253	0.328310
(2151,2308)(55773,55932)(50000,100000)	JASDQU010101181.1	75000	159	0.132241
(171,734)(290916,291497)(250000,300000)	JASDQU010101193.1	275000	565	0.431402
(82,677)(185171,185766)(150000,200000)	JASDQU010101194.1	175000	597	0.279472
(262,3608)(50000,70556)(50000,100000)	JASDQU010101197.1	75000	3348	0.549049
(364,662)(600650,600964)(600000,650000)	JASDQU010101207.1	625000	300	0.044952
(3874,4435)(181816,194240)(150000,200000)	JASDQU010101220.1	175000	563	-0.007086
(26,588)(60817,89051)(50000,100000)	JASDQU010101221.1	75000	564	0.494167
(345,2495)(87359,94104)(50000,100000)	JASDQU010101222.1	75000	2152	0.521415
(112,393)(121400,121815)(100000,150000)	JASDQU010101225.1	125000	283	-0.003752
(394,1056)(303153,327946)(300000,350000)	JASDQU010101225.1	325000	664	0.269006
(294,865)(347916,348570)(300000,350000)	JASDQU010101228.1	325000	573	0.066261
(280,840)(58588,59198)(50000,100000)	JASDQU010101229.1	75000	562	0.756488
(30,235)(266917,267140)(250000,300000)	JASDQU010101235.1	275000	207	0.581456
(67,101)(99487,99525)(50000,100000)	JASDQU010101248.1	75000	36	0.075711
(102,175)(281852,281927)(250000,300000)	JASDQU010101248.1	275000	75	0.082342
(1773,1783)(131561,131575)(100000,150000)	JASDQU010101249.1	125000	12	0.094529
(1784,3134)(212041,213523)(200000,250000)	JASDQU010101249.1	225000	1352	0.161399
(29,284)(214374,214781)(200000,250000)	JASDQU010101253.1	225000	257	0.022514
(285,4264)(316243,341550)(300000,350000)	JASDQU010101253.1	325000	3981	0.414857
(4265,4450)(368392,368599)(350000,400000)	JASDQU010101253.1	375000	187	0.052839
(4451,4469)(432409,432442)(400000,450000)	JASDQU010101253.1	425000	20	0.129410
(237,1043)(312449,313270)(300000,350000)	JASDQU010101255.1	325000	808	0.281226
(39,222)(545551,545750)(500000,550000)	JASDQU010101260.1	525000	185	0.046133
(797,852)(103380,103437)(100000,150000)	JASDQU010101262.1	125000	57	0.173388
(2687,2772)(314349,314456)(300000,350000)	JASDQU010101264.1	325000	87	0.172029
(125,537)(90365,90792)(50000,100000)	JASDQU010101273.1	75000	414	0.263322
(392,1499)(109196,121697)(100000,150000)	JASDQU010101281.1	125000	1109	0.091859
(3525,3896)(311912,312290)(300000,350000)	JASDQU010101286.1	325000	373	0.159456
(1515,1671)(541288,541446)(500000,550000)	JASDQU010101314.1	525000	158	0.105466
(1672,2316)(676552,677690)(650000,700000)	JASDQU010101314.1	675000	646	0.075499
(2317,2720)(726690,727108)(700000,750000)	JASDQU010101314.1	725000	405	0.028732
(2721,2983)(893379,894059)(850000,900000)	JASDQU010101314.1	875000	264	0.079541
(1178,1249)(737517,737608)(700000,750000)	JASDQU010101319.1	725000	73	0.045571
(884,993)(63997,64113)(50000,100000)	JASDQU010101322.1	75000	111	0.033782
(1018,1063)(130170,130219)(100000,150000)	JASDQU010101338.1	125000	47	0.010225
(267,1042)(145316,147913)(100000,150000)	JASDQU010101339.1	125000	777	0.005467
(34,4107)(91665,97215)(50000,100000)	JASDQU010101348.1	75000	4075	0.592645
(51,1545)(61946,72198)(50000,100000)	JASDQU010101350.1	75000	1496	0.270577
(1546,3470)(146132,148345)(100000,150000)	JASDQU010101350.1	125000	1926	0.201398
(961,1362)(147545,147978)(100000,150000)	JASDQU010101355.1	125000	403	0.414737
(54,966)(370239,371335)(350000,400000)	JASDQU010101357.1	375000	914	0.081026
(600,1138)(369060,369682)(350000,400000)	JASDQU010101360.1	375000	540	0.220377
(691,731)(260378,260437)(250000,300000)	JASDQU010101361.1	275000	42	0.075736
(732,933)(472973,486869)(450000,500000)	JASDQU010101361.1	475000	203	0.091398
(692,1131)(250000,277005)(250000,300000)	JASDQU010101367.1	275000	441	0.047721
(990,1208)(478459,478686)(450000,500000)	JASDQU010101368.1	475000	220	0.423229
(1678,3354)(575626,577346)(550000,600000)	JASDQU010101369.1	575000	1678	0.095015
(678,1118)(279048,279550)(250000,300000)	JASDQU010101370.1	275000	442	0.049412
(1591,2260)(101557,102233)(100000,150000)	JASDQU010101376.1	125000	671	0.189924
(2261,2527)(162107,162837)(150000,200000)	JASDQU010101376.1	175000	268	0.070356
(2528,2529)(360148,360151)(350000,400000)	JASDQU010101376.1	375000	3	0.054360
(2530,3610)(404383,432670)(400000,450000)	JASDQU010101376.1	425000	1082	0.799057
(3611,4434)(459355,460219)(450000,500000)	JASDQU010101376.1	475000	825	0.645929
(166,1378)(122172,124350)(100000,150000)	JASDQU010101378.1	125000	1214	0.598620
(1379,3109)(167099,199529)(150000,200000)	JASDQU010101378.1	175000	1732	0.304351
(3110,3597)(201080,201569)(200000,250000)	JASDQU010101378.1	225000	489	0.036471
(42,193)(367852,368013)(350000,400000)	JASDQU010101383.1	375000	153	0.000456
(194,1351)(529370,536824)(500000,550000)	JASDQU010101383.1	525000	1159	0.708103
(1352,1500)(677526,677694)(650000,700000)	JASDQU010101383.1	675000	150	0.055917
(2710,3209)(109253,109770)(100000,150000)	JASDQU010101384.1	125000	501	0.484293
(3210,3379)(183894,184133)(150000,200000)	JASDQU010101384.1	175000	171	0.242034
(1070,1896)(165608,179238)(150000,200000)	JASDQU010101385.1	175000	828	0.042764
(1897,3344)(261517,286658)(250000,300000)	JASDQU010101385.1	275000	1449	0.095112
(592,1666)(428644,429774)(400000,450000)	JASDQU010101388.1	425000	1076	0.599403
(610,863)(199743,199999)(150000,200000)	JASDQU010101390.1	175000	255	0.490466
(527,1025)(63225,66271)(50000,100000)	JASDQU010101392.1	75000	500	0.127949
(426,480)(228789,228844)(200000,250000)	JASDQU010101395.1	225000	56	0.045301
(481,1442)(339107,340091)(300000,350000)	JASDQU010101395.1	325000	963	0.877898
(489,3160)(194985,197724)(150000,200000)	JASDQU010101404.1	175000	2673	0.532199
(3161,6592)(226512,247670)(200000,250000)	JASDQU010101404.1	225000	3433	0.071001
(6593,6887)(279098,279473)(250000,300000)	JASDQU010101404.1	275000	296	0.189888
(6888,8167)(311658,333504)(300000,350000)	JASDQU010101404.1	325000	1281	0.236165
(8168,8811)(520848,521512)(500000,550000)	JASDQU010101404.1	525000	645	0.463618
(8812,9804)(679740,681895)(650000,700000)	JASDQU010101404.1	675000	994	0.545610
